zip,year_built,sqft,stories,beds,baths,garage,lastSoldPrice,type_condo,type_coop,type_farm,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhomes
98092.0,2002.0,2800.0,2.0,4.0,3.0,0.0,700013.0,False,False,False,False,False,False,False,True,False
98027.0,2004.0,3900.0,2.0,4.0,4.0,0.0,1926098.0,False,False,False,False,False,False,False,True,False
98273.0,1920.0,1790.0,2.0,3.0,2.0,0.0,645917.0,False,False,False,False,False,False,False,True,False
98052.0,2000.0,2460.0,2.0,4.0,3.0,0.0,1649941.0,False,False,False,False,False,False,False,True,False
98840.0,2001.0,1630.0,2.0,2.0,2.0,0.0,378094.0,False,False,False,False,False,False,False,True,False
98121.0,2015.0,850.0,1.0,1.0,1.0,0.0,550059.0,True,False,False,False,False,False,False,False,False
98107.0,2000.0,800.0,1.0,1.0,1.0,0.0,430058.0,True,False,False,False,False,False,False,False,False
98026.0,1960.0,1340.0,1.0,3.0,2.0,0.0,882572.0,False,False,False,False,False,False,False,True,False
98033.0,2025.0,3680.0,2.0,5.0,5.0,0.0,3048915.0,False,False,False,False,False,False,False,True,False
98023.0,1966.0,3540.0,2.0,5.0,5.0,0.0,850059.0,False,False,False,False,False,False,False,True,False
98033.0,1999.0,4640.0,2.0,5.0,4.0,0.0,2264912.0,False,False,False,False,False,False,False,True,False
98008.0,1958.0,1600.0,2.0,3.0,2.0,0.0,1174943.0,False,False,False,False,False,False,False,True,False
98198.0,1977.0,1410.0,1.0,2.0,2.0,0.0,584911.0,False,False,False,False,False,False,False,True,False
98282.0,1991.0,2180.0,2.0,3.0,3.0,0.0,720054.0,False,False,False,False,False,False,False,True,False
98258.0,2008.0,1810.0,2.0,3.0,3.0,0.0,609927.0,True,False,False,False,False,False,False,False,False
98136.0,1961.0,2360.0,2.0,4.0,3.0,0.0,1699918.0,False,False,False,False,False,False,False,True,False
98010.0,2019.0,2160.0,2.0,3.0,3.0,0.0,578937.0,False,False,False,False,False,False,False,True,False
98502.0,1992.0,3710.0,1.0,3.0,4.0,0.0,909919.0,False,False,False,False,False,False,False,True,False
98036.0,1984.0,2140.0,2.0,5.0,3.0,0.0,929915.0,False,False,False,False,False,False,False,True,False
